日期,收盘,pred,strategy_cum,hold_cum
2008-05-26,3.65,1,1.021917808219178,0.9147869674185463
2008-05-27,3.73,1,1.0164383561643835,0.9348370927318294
2008-05-28,3.71,1,0.9452054794520548,0.9298245614035087
2008-05-29,3.45,1,0.9232876712328768,0.8646616541353384
2008-05-30,3.37,1,1.082191780821918,0.8446115288220553
2008-06-02,3.95,1,1.0657534246575344,0.9899749373433585
2008-06-03,3.89,1,1.0109589041095892,0.9749373433583962
2008-06-04,3.69,1,1.0328767123287674,0.9248120300751881
2008-06-05,3.77,1,1.0191780821917813,0.9448621553884714
2008-06-06,3.72,1,0.8520547945205482,0.9323308270676695
2008-06-10,3.11,1,0.8136986301369867,0.7794486215538848
2008-06-11,2.97,1,0.8575342465753429,0.7443609022556394
2008-06-12,3.13,0,0.8575342465753429,0.7844611528822059
2008-06-13,2.82,1,0.8058389196541343,0.7067669172932334
2008-06-16,2.65,1,0.8453706402409409,0.6641604010025065
2008-06-17,2.78,0,0.8453706402409409,0.6967418546365918
2008-06-18,3.06,1,0.6934249369296606,0.7669172932330831
2008-06-19,2.51,1,0.7459152708008302,0.6290726817042609
2008-06-23,2.7,0,0.7459152708008302,0.6766917293233087
2008-06-24,2.77,1,0.8078504737915129,0.6942355889724314
2008-06-25,3.0,1,0.8267003181799814,0.7518796992481207
2008-06-26,3.07,1,0.7890006294030443,0.7694235588972435
2008-06-27,2.93,1,0.7539937755387454,0.734335839598998
2008-06-30,2.8,1,0.7243725914997233,0.7017543859649127
2008-07-01,2.69,1,0.7674579501019373,0.6741854636591483
2008-07-02,2.85,1,0.837471657830535,0.7142857142857147
2008-07-03,3.11,1,0.7890006294030444,0.7794486215538851
2008-07-04,2.93,0,0.7890006294030444,0.734335839598998
2008-07-07,3.12,0,0.7890006294030444,0.7819548872180456
2008-07-08,3.16,0,0.7890006294030444,0.7919799498746872
2008-07-09,3.57,1,0.7403787418768065,0.8947368421052636
2008-07-10,3.35,1,0.7668997714365726,0.8395989974937349
2008-07-11,3.47,0,0.7668997714365726,0.8696741854636597
2008-07-14,3.65,1,0.7101701993029084,0.9147869674185469
2008-07-15,3.38,1,0.6492384366408245,0.847117794486216
2008-07-16,3.09,1,0.6282274839987267,0.7744360902255644
2008-07-17,2.99,1,0.6576428176976638,0.7493734335839605
2008-07-18,3.13,0,0.6576428176976638,0.7844611528822061
2008-07-21,3.21,1,0.6596915492169712,0.8045112781954894
2008-07-22,3.22,1,0.631009307946668,0.8070175438596499
2008-07-23,3.08,0,0.631009307946668,0.7719298245614041
2008-07-24,3.09,0,0.631009307946668,0.7744360902255646
