日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,date_only,铜价,收益率,铜价涨幅,MA5,MA20,MA5_Ratio,MA20_Ratio,RSI14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Std,BB_Upper,BB_Lower
2011-11-29,300274,0.63,0.57,0.64,0.49,49742,174316711.0,25.0,-5.0,-0.03,13.88,2011-11-29,0,-0.050000000000000044,0,0.614,0.479,-0.07166123778501632,0.1899791231732777,59.50413223140496,0.04211214099629934,0.0211168454462683,0.020995295550031042,0.479,0.15106290080625354,0.7811258016125071,0.1768741983874929
2011-11-30,300274,0.57,0.39,0.6,0.28,58354,199236385.0,56.14,-31.58,-0.18,16.28,2011-11-30,0,-0.3157894736842104,0,0.5740000000000001,0.47300000000000003,-0.32055749128919864,-0.17547568710359407,53.7313432835821,0.025391094396321034,0.021971695236278847,0.003419399160042188,0.47300000000000003,0.1521460517155525,0.7772921034311051,0.168707896568895
2011-12-01,300274,0.49,0.35,0.56,0.32,52220,180176123.0,61.54,-10.26,-0.04,14.57,2011-12-01,0,-0.10256410256410264,0,0.526,0.465,-0.33460076045627385,-0.24731182795698936,56.25,0.008810318918887061,0.01933941997280049,-0.010529101053913428,0.465,0.15428954325518865,0.7735790865103773,0.15642091348962273
2011-12-02,300274,0.3,0.3,0.34,0.21,31213,101961529.0,37.14,-14.29,-0.05,8.71,2011-12-02,0,-0.1428571428571428,0,0.442,0.4534999999999999,-0.32126696832579194,-0.3384785005512678,48.30508474576271,-0.008269323622337676,0.013817671253772857,-0.022086994876110533,0.4534999999999999,0.15772310847611523,0.7689462169522303,0.13805378304776944
2011-12-05,300274,0.25,0.13,0.28,0.13,23394,74768827.0,50.0,-56.67,-0.17,6.53,2011-12-05,0,-0.5666666666666667,0,0.348,0.446,-0.6264367816091954,-0.7085201793721974,39.99999999999999,-0.03511782619882614,0.004030571763253058,-0.039148397962079196,0.446,0.16953186317497645,0.7850637263499529,0.1069362736500471
2011-12-06,300274,0.11,0.17,0.19,0.07,28804,90153268.0,92.31,30.77,0.04,8.04,2011-12-06,0,0.3076923076923077,0,0.268,0.44000000000000006,-0.3656716417910447,-0.6136363636363636,40.458015267175576,-0.05256189145164386,-0.0072879208797263255,-0.04527397057191754,0.44000000000000006,0.17728953422965613,0.7945790684593124,0.0854209315406878
2011-12-07,300274,0.24,0.31,0.31,0.21,41591,135516059.0,58.82,82.35,0.14,11.6,2011-12-07,0,0.8235294117647058,0,0.252,0.4385,0.23015873015873023,-0.2930444697833523,39.53488372093023,-0.054461807060527945,-0.01672269811588665,-0.037739108944641296,0.4385,0.17830414583248652,0.795108291664973,0.08189170833502696
2011-12-08,300274,0.26,0.36,0.38,0.18,37213,122121126.0,64.52,16.13,0.05,10.38,2011-12-08,0,0.16129032258064502,0,0.254,0.442,0.4173228346456692,-0.18552036199095023,40.458015267175576,-0.051341093568223084,-0.023646377206353937,-0.027694716361869147,0.442,0.1759066738209123,0.7938133476418245,0.09018665235817541
2011-12-09,300274,0.29,0.34,0.39,0.28,24804,82063896.0,30.56,-5.56,-0.02,6.92,2011-12-09,0,-0.05555555555555547,0,0.262,0.4495,0.2977099236641221,-0.24360400444938812,42.4,-0.04990644802789057,-0.028898391370661265,-0.021008056657229306,0.4495,0.1675983607506821,0.7846967215013643,0.11430327849863581
2011-12-12,300274,0.32,0.35,0.4,0.3,14398,47871150.0,29.41,2.94,0.01,4.02,2011-12-12,0,0.02941176470588225,0,0.306,0.45,0.14379084967320255,-0.22222222222222232,33.94495412844036,-0.047415982740987406,-0.03260190964472649,-0.014814073096260913,0.45,0.1672690867088747,0.7845381734177495,0.11546182658225063
