date,strategy,hold
2025-12-30,0.9982150000000002,1.0
2025-12-31,1.0255150000000002,1.0314183123877916
2026-01-05,1.049695,1.059245960502693
2026-01-06,1.1068950000000002,1.1250748055056852
2026-01-07,1.0840150000000002,1.0987432675044881
2026-01-08,1.0645930000000001,1.0861759425493716
2026-01-09,1.0645930000000001,1.113704368641532
2026-01-12,1.0645930000000001,1.1149012567324954
2026-01-13,1.0645930000000001,1.144225014961101
2026-01-14,1.0645930000000001,1.1520047875523638
2026-01-15,1.0645930000000001,1.144524236983842
2026-01-16,1.0645930000000001,1.1211849192100538
2026-01-19,1.0643534665750003,1.1149012567324954
2026-01-20,1.076145466575,1.1163973668462
2026-01-21,1.076145466575,1.1409335727109515
2026-01-22,1.0576533338450207,1.1268701376421304
2026-01-23,1.0551533338450207,1.1238779174147218
2026-01-26,1.1211490213450208,1.181926989826451
2026-01-27,1.1019367628152181,1.215140634350688
2026-01-28,1.142496762815218,1.2657091561938958
2026-01-29,1.1700967628152181,1.3001196888090965
2026-01-30,1.0906567628152182,1.2010771992818672
2026-02-02,1.005936762815218,1.0954518252543386
2026-02-03,1.058736762815218,1.1612806702573308
2026-02-04,1.041730422815218,1.1717534410532613
2026-02-05,1.090896033470085,1.1205864751645722
2026-02-06,1.084136033470085,1.1128067025733093
2026-02-09,1.1215760334700848,1.1558946738479952
2026-02-10,1.1200433334700848,1.1612806702573308
2026-02-11,1.117541323720054,1.1813285457809692
2026-02-12,1.086323948720054,1.189407540394973
2026-02-13,1.086323948720054,1.1304608019150209
2026-02-24,1.0841595258315921,1.1765409934171154
2026-02-25,1.091599525831592,1.1858168761220826
2026-02-26,1.080573925831592,1.1780371035308197
2026-02-27,1.0599307966982798,1.1834230999401554
2026-03-02,1.0784044966982798,1.2199281867145422
2026-03-03,1.1071618556865228,1.1627767803710352
2026-03-04,1.0846618556865228,1.1358467983243565
2026-03-05,1.0602179181865228,1.1271693596648713
2026-03-06,1.0602179181865228,1.1101137043686415
2026-03-09,1.045479369154931,1.0891681627767802
2026-03-10,1.072276244154931,1.1110113704368643
2026-03-11,1.0837349819999962,1.1143028126870138
2026-03-12,1.0559890819999962,1.0996409335727109
2026-03-13,1.0754614844565464,1.0703171753441054
2026-03-16,1.0479214844565463,1.0397965290245361
2026-03-17,1.0519714844565464,1.0442848593656493
2026-03-18,1.0067481719565463,1.0448833034111311
2026-03-19,1.0098816536178559,0.9670855774985039
2026-03-20,0.9911216536178559,0.9470377019748653
2026-03-23,0.9611616536178559,0.9150209455415917
2026-03-24,1.006521653617856,0.9634949132256134
2026-03-25,1.0356416536178559,0.9946140035906643
