日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,date_only,铜价,收益率,铜价涨幅,MA5,MA20,MA5_Ratio,MA20_Ratio,RSI14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Std,BB_Upper,BB_Lower
2008-06-06,2230,1.79,1.76,1.83,1.71,6343,24751934.12,6.94,1.73,0.03,2.96,2008-06-06,0,0.01734104046242768,0,1.702,1.524,0.03407755581668637,0.15485564304461952,60.0,0.1357470335826778,0.12004353907418185,0.015703494508495966,1.524,0.16900326997770754,1.862006539955415,1.185993460044585
2008-06-10,2230,1.67,1.61,1.73,1.46,11765,42927016.14,15.34,-8.52,-0.15,5.49,2008-06-10,0,-0.08522727272727271,0,1.7120000000000002,1.5494999999999999,-0.05957943925233644,0.03904485317844486,51.32743362831859,0.12547093520353747,0.12112901830005297,0.004341916903484497,1.5494999999999999,0.13713132391981062,1.8237626478396212,1.2752373521603786
2008-06-11,2230,1.54,1.53,1.61,1.42,12329,44124564.05,11.8,-4.97,-0.08,5.75,2008-06-11,0,-0.049689440993788914,0,1.668,1.5595,-0.08273381294964022,-0.018916319333119658,46.610169491525426,0.10960822638565215,0.11882485991717281,-0.009216633531520663,1.5595,0.12721614429159955,1.8139322885831992,1.305067711416801
2008-06-12,2230,1.5,1.51,1.53,1.39,7006,24486150.51,9.15,-1.31,-0.02,3.27,2008-06-12,0,-0.013071895424836666,0,1.6280000000000001,1.566,-0.0724815724815725,-0.03575989782886335,50.0,0.09433563997408223,0.11392701592855471,-0.01959137595447248,1.566,0.1207171552802144,1.807434310560429,1.3245656894395712
2008-06-13,2230,1.49,1.31,1.5,1.25,14694,49327860.51,16.56,-13.25,-0.2,6.85,2008-06-13,0,-0.13245033112582782,0,1.544,1.5625,-0.1515544041450777,-0.16159999999999997,35.344827586206904,0.06534047238696528,0.10420970722023683,-0.03886923483327155,1.5625,0.12723269192600173,1.8169653838520035,1.3080346161479965
2008-06-16,2230,1.28,1.25,1.31,1.08,18210,56927761.59,17.56,-4.58,-0.06,8.49,2008-06-16,0,-0.04580152671755733,0,1.442,1.56,-0.13314840499306513,-0.1987179487179488,36.60714285714286,0.037092515190369824,0.09078626881426344,-0.053693753623893614,1.56,0.13302156532722537,1.8260431306544507,1.2939568693455494
2008-06-17,2230,1.2,1.1,1.24,1.1,3460,10744426.66,11.2,-12.0,-0.15,1.61,2008-06-17,0,-0.11999999999999988,0,1.3399999999999999,1.537,-0.17910447761194015,-0.28432010409889386,35.96491228070177,0.0025724061025484968,0.07314349627192045,-0.07057109016937195,1.537,0.1681509347048219,1.8733018694096437,1.2006981305903561
2008-06-18,2230,1.08,1.22,1.23,0.97,6319,19211650.24,23.64,10.91,0.12,2.95,2008-06-18,0,0.1090909090909089,0,1.278,1.5190000000000001,-0.04538341158059467,-0.19684002633311393,40.16393442622951,-0.014929929007311937,0.055528811216073976,-0.07045874022338591,1.5190000000000001,0.18200347018091373,1.8830069403618275,1.1549930596381728
2008-06-19,2230,1.15,1.04,1.19,0.98,5310,15755302.48,17.21,-14.75,-0.18,2.48,2008-06-19,0,-0.14754098360655732,0,1.1840000000000002,1.4905000000000002,-0.12162162162162171,-0.3022475679302248,30.534351145038173,-0.04283141743803087,0.03585676548525301,-0.07868818292328389,1.4905000000000002,0.2095477586563377,1.9095955173126755,1.0714044826873248
2008-06-20,2230,1.02,1.1,1.18,0.9,4879,14484567.58,26.92,5.77,0.06,2.28,2008-06-20,0,0.05769230769230771,0,1.142,1.4700000000000002,-0.03677758318739044,-0.2517006802721089,31.578947368421055,-0.05941712583887315,0.016801987220427778,-0.07621911305930093,1.4700000000000002,0.22687812633774623,1.9237562526754926,1.0162437473245078
2008-06-23,2230,1.04,1.06,1.09,1.0,3481,10318036.78,8.18,-3.64,-0.04,1.62,2008-06-23,0,-0.036363636363636376,0,1.104,1.4405000000000001,-0.03985507246376818,-0.2641443943075321,31.343283582089555,-0.07492539167042911,-0.0015434885577435993,-0.07338190311268551,1.4405000000000001,0.24020769521833663,1.9209153904366734,0.9600846095633269
2008-06-24,2230,1.05,1.18,1.19,1.02,5584,17197718.77,16.04,11.32,0.12,2.6,2008-06-24,0,0.1132075471698113,0,1.1199999999999999,1.4220000000000002,0.0535714285714286,-0.17018284106891712,27.559055118110237,-0.07664924220318148,-0.016564639286831176,-0.0600846029163503,1.4220000000000002,0.2455198566307826,1.9130397132615653,0.930960286738435
2008-06-25,2230,1.15,1.21,1.24,1.12,4710,14873547.8,10.17,2.54,0.03,2.2,2008-06-25,0,0.025423728813559254,0,1.1179999999999999,1.4115,0.08228980322003587,-0.1427559334041799,30.15873015873015,-0.07473317931911927,-0.028198347293288795,-0.046534832025830475,1.4115,0.25005841422818753,1.911616828456375,0.9113831715436249
2008-06-26,2230,1.21,1.17,1.22,1.1,6417,19945631.5,9.92,-3.31,-0.04,2.99,2008-06-26,0,-0.03305785123966942,0,1.144,1.397,0.022727272727272707,-0.16249105225483185,28.125,-0.07557121347754236,-0.03767292053013951,-0.03789829294740286,1.397,0.25544800686348357,1.9078960137269672,0.8861039862730329
