日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2026-02-25 09:45:00,363.69,361.92,365.37,360.1,-0.01,-0.03,31860,1154957471.0,1.46,0.07
2026-02-25 10:00:00,362.0,362.21,364.75,361.81,0.08,0.29,13057,474619743.0,0.81,0.03
2026-02-25 10:15:00,362.09,363.87,364.9,361.89,0.46,1.66,10038,365083215.0,0.83,0.02
2026-02-25 10:30:00,364.1,364.99,365.58,362.98,0.31,1.12,12818,467106870.0,0.71,0.03
2026-02-25 10:45:00,365.09,364.59,365.35,364.12,-0.11,-0.4,5827,212483706.0,0.34,0.01
2026-02-25 11:00:00,364.59,365.95,366.44,364.08,0.37,1.36,12829,469067797.0,0.65,0.03
2026-02-25 11:15:00,365.8,365.91,366.6,365.48,-0.01,-0.04,7264,265896908.0,0.31,0.02
2026-02-25 11:30:00,365.9,365.55,365.9,364.91,-0.1,-0.36,8850,323335460.0,0.27,0.02
2026-02-25 13:15:00,365.53,363.83,365.53,363.12,-0.47,-1.72,12684,461899983.0,0.66,0.03
2026-02-25 13:30:00,363.93,364.02,364.79,363.5,0.05,0.19,8624,314038066.0,0.35,0.02
2026-02-25 13:45:00,364.04,362.87,364.11,362.6,-0.32,-1.15,10522,381928026.0,0.41,0.02
2026-02-25 14:00:00,362.97,361.98,363.26,361.66,-0.25,-0.89,12542,454353965.0,0.44,0.03
2026-02-25 14:15:00,361.95,362.2,362.4,361.34,0.06,0.22,15004,542756775.0,0.29,0.04
2026-02-25 14:30:00,362.22,361.9,362.68,361.9,-0.08,-0.3,6110,221348481.0,0.22,0.01
2026-02-25 14:45:00,361.92,362.29,362.41,361.88,0.11,0.39,6684,242058416.0,0.15,0.02
2026-02-25 15:00:00,362.28,362.18,362.79,362.1,-0.03,-0.11,12453,451175700.0,0.19,0.03
2026-02-26 09:45:00,356.05,348.36,358.2,346.68,-3.82,-13.82,113690,4001275763.0,3.18,0.27
2026-02-26 10:00:00,348.25,345.75,348.31,345.0,-0.75,-2.61,56895,1973630559.0,0.95,0.13
2026-02-26 10:15:00,345.74,345.03,346.2,345.0,-0.21,-0.72,31079,1073463375.0,0.35,0.07
2026-02-26 10:30:00,345.03,344.23,346.7,344.22,-0.23,-0.8,28405,980788187.0,0.72,0.07
2026-02-26 10:45:00,344.23,344.18,345.15,343.58,-0.01,-0.05,23002,791747057.0,0.46,0.05
2026-02-26 11:00:00,344.18,344.46,345.5,344.1,0.08,0.28,15031,518047794.0,0.41,0.04
2026-02-26 11:15:00,344.45,343.98,344.5,343.86,-0.14,-0.48,12549,431807687.0,0.19,0.03
2026-02-26 11:30:00,343.99,344.28,344.28,343.79,0.09,0.3,12368,425401053.0,0.14,0.03
2026-02-26 13:15:00,344.31,344.12,344.8,344.0,-0.05,-0.16,17108,589037962.0,0.23,0.04
2026-02-26 13:30:00,344.09,344.13,344.14,343.5,0.0,0.01,24010,825380938.0,0.19,0.06
2026-02-26 13:45:00,344.15,344.35,344.74,343.71,0.06,0.22,14231,489718324.0,0.3,0.03
2026-02-26 14:00:00,344.34,344.73,345.23,344.1,0.11,0.38,12621,435005441.0,0.33,0.03
2026-02-26 14:15:00,344.73,344.03,344.73,344.0,-0.2,-0.7,13637,469247499.0,0.21,0.03
2026-02-26 14:30:00,344.03,345.05,345.05,344.0,0.3,1.02,12950,445958218.0,0.31,0.03
2026-02-26 14:45:00,345.15,346.13,347.37,345.15,0.31,1.08,26515,918931787.0,0.64,0.06
2026-02-26 15:00:00,346.16,346.0,346.9,346.0,-0.04,-0.13,21324,738701324.0,0.26,0.05
2026-02-27 09:45:00,347.12,346.92,348.94,342.56,0.27,0.92,52832,1829912259.0,1.84,0.12
2026-02-27 10:00:00,346.93,346.78,348.58,346.62,-0.04,-0.14,25557,888887945.0,0.56,0.06
2026-02-27 10:15:00,346.78,345.17,347.32,345.03,-0.46,-1.61,13537,468467946.0,0.66,0.03
2026-02-27 10:30:00,345.15,344.54,345.88,344.25,-0.18,-0.63,13092,451450753.0,0.47,0.03
2026-02-27 10:45:00,344.71,344.83,345.09,343.85,0.08,0.29,11157,384255380.0,0.36,0.03
2026-02-27 11:00:00,344.83,344.66,345.63,344.53,-0.05,-0.17,6835,235811418.0,0.32,0.02
2026-02-27 11:15:00,344.66,344.16,344.91,344.13,-0.15,-0.5,7875,271352256.0,0.23,0.02
2026-02-27 11:30:00,344.16,344.09,344.77,344.0,-0.02,-0.07,6005,206753599.0,0.22,0.01
2026-02-27 13:15:00,344.1,344.14,344.61,344.01,0.01,0.05,7741,266463809.0,0.17,0.02
2026-02-27 13:30:00,344.16,344.85,345.24,344.12,0.21,0.71,8565,295364897.0,0.33,0.02
2026-02-27 13:45:00,344.82,344.54,345.05,344.02,-0.09,-0.31,10655,366911450.0,0.3,0.03
2026-02-27 14:00:00,344.53,344.15,344.56,343.5,-0.11,-0.39,14527,499652314.0,0.31,0.03
2026-02-27 14:15:00,344.15,343.74,344.16,343.58,-0.12,-0.41,10940,376174929.0,0.17,0.03
2026-02-27 14:30:00,343.74,343.02,343.75,342.95,-0.21,-0.72,18870,647556761.0,0.23,0.04
2026-02-27 14:45:00,343.0,342.91,343.02,342.62,-0.03,-0.11,15800,541677994.0,0.12,0.04
2026-02-27 15:00:00,342.92,342.01,343.91,342.01,-0.26,-0.9,30477,1044360398.0,0.55,0.07
2026-03-02 09:45:00,341.0,344.59,344.9,336.68,0.75,2.58,56596,1926128186.0,2.4,0.13
2026-03-02 10:00:00,344.17,340.0,344.38,340.0,-1.33,-4.59,16020,547485884.0,1.27,0.04
2026-03-02 10:15:00,340.01,338.33,340.67,338.14,-0.49,-1.67,19651,666402305.0,0.74,0.05
2026-03-02 10:30:00,338.31,337.46,338.6,337.17,-0.26,-0.87,16384,553424912.0,0.42,0.04
2026-03-02 10:45:00,337.46,338.46,339.16,337.27,0.3,1.0,12348,417739744.0,0.56,0.03
2026-03-02 11:00:00,338.46,338.85,339.97,338.02,0.12,0.39,10373,351696508.0,0.58,0.02
2026-03-02 11:15:00,338.8,338.58,340.34,338.52,-0.08,-0.27,6026,204446396.0,0.54,0.01
2026-03-02 11:30:00,338.65,338.49,339.18,338.12,-0.03,-0.09,7715,261221564.0,0.31,0.02
2026-03-02 13:15:00,338.5,341.31,341.4,338.48,0.83,2.82,26380,896025675.0,0.86,0.06
2026-03-02 13:30:00,341.34,340.67,343.37,340.2,-0.19,-0.64,21177,723556069.0,0.93,0.05
2026-03-02 13:45:00,340.89,341.07,341.91,340.46,0.12,0.4,17114,583820923.0,0.43,0.04
2026-03-02 14:00:00,341.18,340.73,341.8,340.44,-0.1,-0.34,15752,537329813.0,0.4,0.04
2026-03-02 14:15:00,340.74,340.66,341.23,340.33,-0.02,-0.07,13226,450677925.0,0.26,0.03
2026-03-02 14:30:00,340.66,340.36,340.95,340.21,-0.09,-0.3,13308,453088698.0,0.22,0.03
2026-03-02 14:45:00,340.35,340.3,340.86,340.18,-0.02,-0.06,14939,508572147.0,0.2,0.04
2026-03-02 15:00:00,340.29,340.22,340.47,340.16,-0.02,-0.08,16504,561638206.0,0.09,0.04
2026-03-03 09:45:00,346.33,345.35,349.43,344.03,1.51,5.13,63428,2196001188.0,1.59,0.15
2026-03-03 10:00:00,345.35,344.36,347.65,344.32,-0.29,-0.99,30622,1058828314.0,0.96,0.07
2026-03-03 10:15:00,344.34,346.27,346.52,344.34,0.55,1.91,20511,708789778.0,0.63,0.05
2026-03-03 10:30:00,346.26,345.2,346.29,344.92,-0.31,-1.07,18997,656485230.0,0.4,0.04
2026-03-03 10:45:00,345.21,350.66,351.54,345.21,1.58,5.46,56931,1988404443.0,1.83,0.13
2026-03-03 11:00:00,350.86,352.25,353.0,350.75,0.45,1.59,32882,1157167012.0,0.64,0.08
2026-03-03 11:15:00,352.3,349.65,352.99,349.51,-0.74,-2.6,14515,509863694.0,0.99,0.03
2026-03-03 11:30:00,349.66,349.44,350.26,348.62,-0.06,-0.21,10659,372434174.0,0.47,0.03
2026-03-03 13:15:00,349.39,353.12,354.35,349.02,1.05,3.68,29068,1023957270.0,1.53,0.07
2026-03-03 13:30:00,353.11,351.0,353.23,351.0,-0.6,-2.12,14250,501283304.0,0.63,0.03
2026-03-03 13:45:00,351.04,349.45,351.09,348.68,-0.44,-1.55,13729,480219592.0,0.69,0.03
2026-03-03 14:00:00,349.46,347.59,349.89,347.58,-0.53,-1.86,12210,425491087.0,0.66,0.03
2026-03-03 14:15:00,347.58,346.21,347.66,346.2,-0.4,-1.38,16240,563236618.0,0.42,0.04
2026-03-03 14:30:00,346.18,345.99,346.28,344.7,-0.06,-0.22,22882,790208282.0,0.46,0.05
2026-03-03 14:45:00,346.16,344.83,346.16,344.28,-0.34,-1.16,17339,598415071.0,0.54,0.04
2026-03-03 15:00:00,344.86,344.07,345.81,344.07,-0.22,-0.76,25811,889172157.0,0.5,0.06
2026-03-04 09:45:00,341.1,339.17,342.02,335.37,-1.42,-4.9,46770,1585668148.0,1.93,0.11
2026-03-04 10:00:00,339.27,339.83,340.26,337.77,0.19,0.66,20484,694087507.0,0.73,0.05
2026-03-04 10:15:00,339.61,338.29,339.85,337.55,-0.45,-1.54,16209,548297641.0,0.68,0.04
2026-03-04 10:30:00,338.29,336.4,338.68,336.4,-0.56,-1.89,18971,640004355.0,0.67,0.04
2026-03-04 10:45:00,336.38,338.14,338.51,336.28,0.52,1.74,13055,440071308.0,0.66,0.03
2026-03-04 11:00:00,338.15,336.83,339.51,336.7,-0.39,-1.31,10916,369032270.0,0.83,0.03
2026-03-04 11:15:00,336.8,336.05,337.23,336.0,-0.23,-0.78,13458,452915891.0,0.37,0.03
2026-03-04 11:30:00,336.03,334.77,337.13,334.58,-0.38,-1.28,21973,737515563.0,0.76,0.05
2026-03-04 13:15:00,334.74,336.18,336.91,334.2,0.42,1.41,19012,637497834.0,0.81,0.04
2026-03-04 13:30:00,336.18,336.31,337.52,335.76,0.04,0.13,10643,358323792.0,0.52,0.03
2026-03-04 13:45:00,336.1,337.18,338.55,336.0,0.26,0.87,9792,330419619.0,0.76,0.02
2026-03-04 14:00:00,337.19,338.01,338.41,337.04,0.25,0.83,7355,248521754.0,0.41,0.02
2026-03-04 14:15:00,337.99,337.51,337.99,336.57,-0.15,-0.5,7751,261271414.0,0.42,0.02
2026-03-04 14:30:00,337.51,338.0,338.41,337.51,0.15,0.49,8222,277952167.0,0.27,0.02
2026-03-04 14:45:00,338.2,338.43,338.99,337.88,0.13,0.43,11840,400874878.0,0.33,0.03
2026-03-04 15:00:00,338.43,338.9,338.96,338.12,0.14,0.47,14354,486150730.0,0.25,0.03
