日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2026-02-25 09:45:00,4.29,4.3,4.33,4.28,0.47,0.02,861989,371518079.0,1.17,0.24
2026-02-25 10:00:00,4.3,4.3,4.31,4.29,0.0,0.0,391484,168367271.0,0.47,0.11
2026-02-25 10:15:00,4.29,4.31,4.32,4.29,0.23,0.01,400511,172274599.0,0.7,0.11
2026-02-25 10:30:00,4.32,4.31,4.32,4.3,0.0,0.0,234940,101221097.0,0.46,0.06
2026-02-25 10:45:00,4.3,4.31,4.32,4.3,0.0,0.0,140376,60514672.0,0.46,0.04
2026-02-25 11:00:00,4.32,4.31,4.32,4.31,0.0,0.0,124155,53589760.0,0.23,0.03
2026-02-25 11:15:00,4.32,4.33,4.33,4.31,0.46,0.02,233287,100803345.0,0.46,0.06
2026-02-25 11:30:00,4.33,4.34,4.34,4.32,0.23,0.01,411716,178355414.0,0.46,0.11
2026-02-25 13:15:00,4.34,4.37,4.39,4.34,0.69,0.03,1069989,466727853.0,1.15,0.29
2026-02-25 13:30:00,4.36,4.36,4.37,4.35,-0.23,-0.01,310443,135339915.0,0.46,0.09
2026-02-25 13:45:00,4.35,4.36,4.37,4.35,0.0,0.0,359949,156924133.0,0.46,0.1
2026-02-25 14:00:00,4.36,4.37,4.38,4.36,0.23,0.01,326201,142468473.0,0.46,0.09
2026-02-25 14:15:00,4.37,4.35,4.37,4.35,-0.46,-0.02,407493,177724949.0,0.46,0.11
2026-02-25 14:30:00,4.35,4.35,4.37,4.35,0.0,0.0,214976,93704312.0,0.46,0.06
2026-02-25 14:45:00,4.36,4.37,4.37,4.35,0.46,0.02,256400,111744398.0,0.46,0.07
2026-02-25 15:00:00,4.36,4.36,4.37,4.35,-0.23,-0.01,267792,116705859.0,0.46,0.07
2026-02-26 09:45:00,4.38,4.32,4.38,4.32,-0.92,-0.04,667560,289787810.0,1.38,0.18
2026-02-26 10:00:00,4.32,4.35,4.35,4.32,0.69,0.03,276689,119976476.0,0.69,0.08
2026-02-26 10:15:00,4.35,4.37,4.37,4.34,0.46,0.02,430711,187582236.0,0.69,0.12
2026-02-26 10:30:00,4.36,4.33,4.38,4.33,-0.92,-0.04,567379,247383153.0,1.14,0.16
2026-02-26 10:45:00,4.33,4.34,4.35,4.33,0.23,0.01,174797,75882656.0,0.46,0.05
2026-02-26 11:00:00,4.34,4.35,4.35,4.34,0.23,0.01,101431,44045560.0,0.23,0.03
2026-02-26 11:15:00,4.34,4.36,4.36,4.34,0.23,0.01,173531,75537978.0,0.46,0.05
2026-02-26 11:30:00,4.36,4.37,4.37,4.35,0.23,0.01,222193,96868393.0,0.46,0.06
2026-02-26 13:15:00,4.36,4.36,4.37,4.35,-0.23,-0.01,261979,114161965.0,0.46,0.07
